category,compatibility,,name,price,rating,
 Photography, OS 10.14  , English,MesaExif,,1, 153.6 MB
 Photography, OS X 10.10  , English,Memory Pictures Viewer,Free,, 15 MB
 Photography, OS X 10.10  , English,Memory Pictures,$7.99 ,, 26.2 MB
 Photography, OS X 10.9.0  , English,Memento Smart Frame,Free,2, 22 MB
 Graphics & Design, OS X 10.11  , English,Meme Producer - Make Funny and Epic Photos,$9.99 ,1, 7.8 MB
 Entertainment, OS X 10.8  , English,Meme Maker,$0.99 ,2.3, 26.9 MB
 Photography, OS X 10.9  , English,Meme Creator,,2, 9.9 MB
 Social Networking, OS X 10.6.6 , English,ME 3 - Multi Player 3D Photo Sharing and Chat,Free,1.5, 158.1 MB
 Graphics & Design, OS X 10.4 , English,Mazaika Lite,$2.99 ,2.5, 3.1 MB
 Graphics & Design, OS X 10.5 , English,Mazaika Free,Free,2.3, 19.3 MB
 Photography, OS 10.12  , English,Max Photo Copy Finder,$0.99 ,5, 4.9 MB
 Photography, OS X 10.11  , English,MarkerForPhotos,$9.99 ,, 36.1 MB
 Photography, OS X 10.5.0  ,,Mappero Geotagger,$19.99 ,, 16.6 MB
 Photography, OS X 10.8  , English,Mapper,$5.99 ,2, 2 MB
 Utilities, OS X 10.7  , English,Makonekt,Free,3.6, 920.2 KB
 Photography, OS X 10.5 , English,Make a Face,$1.99 ,5, 50.5 MB
 Graphics & Design, OS X 10.11  ,,MagicWatermarks 3,$9.99 ,, 34.2 MB
 Photography, OS X 10.11  ,,MagicVintagePhotos,$8.99 ,, 223.4 MB
 Graphics & Design, OS X 10.6.6  ,,MagicVintage 2,$9.99 ,2, 218.1 MB
 Photography, OS X 10.11  ,,MagicSplashPhotos,$5.99 ,1, 64 MB
 Photography, OS X 10.9  ,,MagicSketcher 2,$9.99 ,, 132.7 MB
 Photography, OS X 10.6.6 , English,MagicShow,$2.99 ,3.2, 13.8 MB
 Graphics & Design, OS X 10.11  ,,MagicRomance 3,$9.99 ,, 34.7 MB
 Graphics & Design, OS X 10.6.6  ,,MagicFocus 2,$7.99 ,, 26.9 MB
 Photography, OS X 10.11  ,,MagicEngrave,$19.99 ,, 86.1 MB
 Graphics & Design, OS X 10.9  ,,MagicColorize 2,$7.99 ,1, 31.6 MB
 Photography, OS X 10.8  ," English, Simplified Chinese",MagicCollageLite,Free,2.8, 12.2 MB
 Photography, OS X 10.11  ,,MagicBlurAndSharp,$3.99 ,1, 31.5 MB
 Photography, OS X 10.6.6  ,,MagicBlur,$1.99 ,1, 26.4 MB
 Photography, OS X 10.11  ,,MagicBlackWhiteForPhotos,$9.99 ,, 53.4 MB
 Photography, OS X 10.8  , English,Magic Photo Eraser - Erase Elements From Photos,$9.99 ,1, 2.3 MB
 Photography, OS X 10.6.6 ," English, Simplified Chinese",Magic Matting Free,Free,1.3, 18 MB
 Photography, OS X 10.6.6 ," English, Simplified Chinese",Magic Matting,$9.99 ,1.3, 18 MB
 Photography, OS X 10.10  ," English, French, German, Japanese, Korean, Russian, Simplified Chinese",Magic Hider Lite,Free,1, 1.9 MB
