category,compatibility,languages,name,price,rating,size
 Education, OS X 10.11  ," English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",Italian in a Month,,1, 86.7 MB
 Education, OS X 10.9  , English,Italian FlashCards,$14.99 ,1, 6.4 MB
 Reference, OS X 10.7  ," English, French, Italian, Spanish",Italian Dictionary (Offline),$9.99 ,, 22.1 MB
 Education, OS X 10.11  , English,ITALIAN - it's so simple! (Video) | PrologDigital,Free,3, 3.8 MB
 Reference, OS X 10.10  ," English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokm̴l, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Italian Chinese Simplified dictionary,$6.99 ,, 2.8 MB
 Graphics & Design, OS X 10.11  , English,It's Simple! For Lightroom,$6.99 ,1, 2.9 MB
 Education, OS X 10.11  , English,It's Easy! For Microsoft Excel,$4.99 ,1, 3.1 MB
 Productivity, OS X 10.10  , English,It's Easy - for Microsoft Excel 2016,$19.99 ,1, 1.9 GB
 Education, OS X 10.9.0  , English,Istebrak's PortraitStudio,,2, 2.1 GB
 Education, OS X 10.8  ," English, French",IsoCours,$4.99 ,, 7.9 MB
 Education, OS X 10.6  , English,Ising 2d,Free,, 305.7 KB
 Business, OS 10.14  , English,Ishikawa Diagram,$2.99 ,, 4.8 MB
 Reference, OS X 10.9  ," English, Arabic, French, German, Italian, Russian, Spanish, Turkish",Irish <> English Dictionaries,,5, 25.9 MB
 Lifestyle, OS X 10.9  , English,Irish Stout 101,,, 172.8 MB
 Education, OS X 10.7  , English,Iqra for Kid,$3.99 ,1, 24.1 MB
 Education, OS 10.13  , English,IPYNB Tutorials,Free,, 24.9 MB
 Utilities, OS X 10.8  , English,IPv4Calc,Free,, 998 KB
 Utilities, OS X 10.10  ," English, French, German, Italian, Japanese, Simplified Chinese, Spanish, Traditional Chinese",IPEVO Annotator,Free,4.6, 1 MB
 Education, OS X 10.11  , English,IPA Keyboard,$3.99 ,, 7.2 MB
 Entertainment, OS X 10.8  , English,Iota Reader,Free,2.3, 14.9 MB
 Business, OS X 10.8  , English,Invoice Templates by Kenny - for Microsoft Word Edition,$4.99 ,, 2.4 MB
 Utilities, OS X 10.11  , English,Invicta-TTS,Free,5, 1.8 MB
 Education, OS X 10.6  , English,InversionPhobia,$0.99 ,4.3, 1.2 MB
 Reference, OS X 10.6 , English,Introduction to the New Testament,$0.99 ,, 305.8 KB
 Education, OS X 10.7  , English,Introduction to ENT and Orthopedics - A simpleNeasyApp by WAGmob,Free,, 19 MB
 Education, OS X 10.9  , English,Introduction Course For Blackboard Learn,$13.99 ,2, 60.1 MB
 Education, OS X 10.9.0  , English,Introducing Excel for Windows,$13.99 ,1, 300.7 MB
 Music, OS X 10.9  , English,Intro For Roland SYSTEM-8,$13.99 ,, 568.8 MB
 Music, OS X 10.9  , English,Intro For Buchla Music Easel,$13.99 ,, 424.1 MB
 Music, OS X 10.9.0  , English,Intro Course For Sonar By AV,$6.99 ,, 191.9 MB
 Video, OS X 10.9  , English,Intro Course For Premiere Pro,$13.99 ,, 220.8 MB
 Photography, OS X 10.9.0  , English,Intro Course For Lightroom CC,$13.99 ,, 297.9 MB
 Music, OS X 10.9  , English,Intro Course For Electribe,$13.99 ,, 617.3 MB
 Music, OS X 10.9.0  , English,Intro Course For Deep Mind 12,$13.99 ,, 791.2 MB
 Education, OS X 10.6  , English,IntervalPhobia,$0.99 ,5, 1.2 MB
 Music, OS X 10.7  , English,Intervallogic-lite,Free,1, 14.2 MB
 Music, OS X 10.8  , English,Intervallogic,$13.99 ,, 14.3 MB
 Education, OS X 10.11  , English,International Space Station 2,$6.99 ,, 13.4 MB
 Education, OS X 10.10  , English,International Space Station,$3.99 ,1, 4 MB
 Education, OS X 10.6 ," English, French, German, Japanese, Simplified Chinese, Spanish, Traditional Chinese",Interactive Telling Time - Learning to tell time is fun,$4.99 ,4.3, 64 MB
 Utilities, OS X 10.11  ," English, Simplified Chinese, Traditional Chinese",Intelligent Translator,Free,4.2, 14.5 MB
 Education, OS X 10.11  , English,Instrument Rating Oral Prep,Free,1, 19.8 MB
 Education, OS X 10.11  , English,Instrument Proficiency Check Prep,Free,1, 16.1 MB
 Education, OS X 10.8  , English,Instructo Desktop,Free,, 543.3 KB
 Reference, OS X 10.6 , English,Institute of Christian Religion,$0.99 ,1, 846.4 KB
 Music, OS X 10.11  ," English, Japanese",Instant Circle of Fifths,$1.99 ,5, 10.4 MB
 Medical, OS X 10.10  , English,Instant Anatomy,,, 1.8 GB
 Education, OS X 10.9  ," English, German, Spanish",Insights,Free,5, 120.9 MB
 Health & Fitness, OS X 10.9.0  , English,Inner Kung Fu Game,Free,5, 33.6 MB
